Epoch 1/200
Total loss: 1871.8538, Reconstruction loss: 1866.7942, KL loss: 50.5959
Total loss: 1885.0889, Reconstruction loss: 1880.3053, KL loss: 47.8353
Total loss: 1808.6978, Reconstruction loss: 1803.7284, KL loss: 49.6932
Total loss: 1751.8220, Reconstruction loss: 1746.4384, KL loss: 53.8362
Total loss: 1730.7316, Reconstruction loss: 1725.0244, KL loss: 57.0710
Total loss: 1656.9376, Reconstruction loss: 1650.6936, KL loss: 62.4400
Total loss: 1612.3263, Reconstruction loss: 1605.6399, KL loss: 66.8641
Total loss: 1509.7268, Reconstruction loss: 1502.4526, KL loss: 72.7422
Total loss: 1413.9408, Reconstruction loss: 1405.9854, KL loss: 79.5544
Total loss: 1356.4821, Reconstruction loss: 1347.7375, KL loss: 87.4446
Total loss: 1254.6912, Reconstruction loss: 1245.1837, KL loss: 95.0740
Total loss: 1159.7115, Reconstruction loss: 1149.3351, KL loss: 103.7650
Total loss: 1026.6215, Reconstruction loss: 1014.8257, KL loss: 117.9574
Total loss: 930.9492, Reconstruction loss: 918.0242, KL loss: 129.2499
Total loss: 854.2762, Reconstruction loss: 840.5037, KL loss: 137.7255
Total loss: 755.2521, Reconstruction loss: 740.1328, KL loss: 151.1923
Total loss: 693.5877, Reconstruction loss: 677.1744, KL loss: 164.1324
Total loss: 616.4937, Reconstruction loss: 598.6029, KL loss: 178.9083
Total loss: 594.1490, Reconstruction loss: 574.7257, KL loss: 194.2336
Total loss: 556.6233, Reconstruction loss: 535.7235, KL loss: 208.9979
Total loss: 566.7855, Reconstruction loss: 544.1707, KL loss: 226.1488
Total loss: 563.3597, Reconstruction loss: 539.1813, KL loss: 241.7841
Total loss: 589.3487, Reconstruction loss: 564.8812, KL loss: 244.6745
Total loss: 524.1757, Reconstruction loss: 497.9284, KL loss: 262.4727
Total loss: 520.2424, Reconstruction loss: 493.3031, KL loss: 269.3932
Total loss: 549.6674, Reconstruction loss: 521.3523, KL loss: 283.1515
Total loss: 560.3014, Reconstruction loss: 532.2211, KL loss: 280.8027
Total loss: 545.6348, Reconstruction loss: 517.1130, KL loss: 285.2179
Total loss: 496.7532, Reconstruction loss: 468.6251, KL loss: 281.2810
Total loss: 573.2480, Reconstruction loss: 543.8999, KL loss: 293.4815
Total loss: 509.4195, Reconstruction loss: 481.6852, KL loss: 277.3424
Total loss: 519.1177, Reconstruction loss: 491.2856, KL loss: 278.3208
Total loss: 517.4272, Reconstruction loss: 490.2427, KL loss: 271.8453
Total loss: 564.5457, Reconstruction loss: 537.2416, KL loss: 273.0401
Total loss: 487.0727, Reconstruction loss: 460.6806, KL loss: 263.9205
Total loss: 518.6733, Reconstruction loss: 492.3167, KL loss: 263.5669
Total loss: 493.8730, Reconstruction loss: 468.0634, KL loss: 258.0964
Total loss: 517.1832, Reconstruction loss: 492.3482, KL loss: 248.3501
Total loss: 481.4156, Reconstruction loss: 457.1132, KL loss: 243.0237
Total loss: 528.8356, Reconstruction loss: 504.5734, KL loss: 242.6227
Total loss: 475.6952, Reconstruction loss: 452.0960, KL loss: 235.9916
Total loss: 491.8365, Reconstruction loss: 469.9606, KL loss: 218.7592
Total loss: 489.4319, Reconstruction loss: 467.0595, KL loss: 223.7236
Total loss: 483.7729, Reconstruction loss: 461.9556, KL loss: 218.1732
Total loss: 514.1788, Reconstruction loss: 492.8352, KL loss: 213.4352
Total loss: 463.5612, Reconstruction loss: 442.3734, KL loss: 211.8789
Total loss: 525.7101, Reconstruction loss: 505.3987, KL loss: 203.1142
Total loss: 508.0282, Reconstruction loss: 488.4894, KL loss: 195.3882
Total loss: 507.1291, Reconstruction loss: 487.7678, KL loss: 193.6133
Total loss: 499.6232, Reconstruction loss: 481.0044, KL loss: 186.1874
Total loss: 467.2738, Reconstruction loss: 448.5830, KL loss: 186.9075
Total loss: 477.1788, Reconstruction loss: 459.5177, KL loss: 176.6112
Total loss: 468.7227, Reconstruction loss: 451.2728, KL loss: 174.4993
Total loss: 493.1719, Reconstruction loss: 475.6682, KL loss: 175.0376
Total loss: 496.2540, Reconstruction loss: 478.9307, KL loss: 173.2336
Total loss: 473.7126, Reconstruction loss: 457.1201, KL loss: 165.9249
Total loss: 481.2947, Reconstruction loss: 464.8848, KL loss: 164.0991
Total loss: 492.4095, Reconstruction loss: 475.9448, KL loss: 164.6472
Total loss: 463.0934, Reconstruction loss: 447.3546, KL loss: 157.3873
Total loss: 451.9534, Reconstruction loss: 435.9153, KL loss: 160.3811
Total loss: 478.2644, Reconstruction loss: 462.1907, KL loss: 160.7368
Total loss: 509.0099, Reconstruction loss: 493.5620, KL loss: 154.4794
Total loss: 472.2283, Reconstruction loss: 456.5563, KL loss: 156.7204
Total loss: 506.2032, Reconstruction loss: 490.8822, KL loss: 153.2100
Epoch 2/200
Total loss: 448.6323, Reconstruction loss: 433.5630, KL loss: 150.6925
Total loss: 465.7823, Reconstruction loss: 450.7170, KL loss: 150.6533
Total loss: 485.3703, Reconstruction loss: 470.6484, KL loss: 147.2189
Total loss: 468.1212, Reconstruction loss: 453.3938, KL loss: 147.2743
Total loss: 488.0154, Reconstruction loss: 473.6632, KL loss: 143.5223
Total loss: 498.1517, Reconstruction loss: 483.7590, KL loss: 143.9273
Total loss: 468.7942, Reconstruction loss: 454.7085, KL loss: 140.8569
Total loss: 439.3472, Reconstruction loss: 425.3450, KL loss: 140.0226
Total loss: 463.3273, Reconstruction loss: 449.3636, KL loss: 139.6369
Total loss: 485.8875, Reconstruction loss: 471.8741, KL loss: 140.1349
Total loss: 441.5601, Reconstruction loss: 427.5155, KL loss: 140.4466
Total loss: 472.1573, Reconstruction loss: 458.3228, KL loss: 138.3456
Total loss: 479.5487, Reconstruction loss: 465.4192, KL loss: 141.2952
Total loss: 469.7337, Reconstruction loss: 455.7401, KL loss: 139.9361
Total loss: 468.2310, Reconstruction loss: 454.5313, KL loss: 136.9968
Total loss: 460.5533, Reconstruction loss: 446.8428, KL loss: 137.1044
Total loss: 456.4150, Reconstruction loss: 442.8004, KL loss: 136.1470
Total loss: 454.7791, Reconstruction loss: 441.3398, KL loss: 134.3931
Total loss: 465.2318, Reconstruction loss: 451.8879, KL loss: 133.4384
Total loss: 458.8636, Reconstruction loss: 445.7703, KL loss: 130.9326
Total loss: 471.7007, Reconstruction loss: 458.6539, KL loss: 130.4680
Total loss: 473.3073, Reconstruction loss: 460.4415, KL loss: 128.6577
Total loss: 497.7830, Reconstruction loss: 485.3534, KL loss: 124.2964
Total loss: 443.2029, Reconstruction loss: 430.5536, KL loss: 126.4931
Total loss: 447.5618, Reconstruction loss: 434.9615, KL loss: 126.0034
Total loss: 451.2900, Reconstruction loss: 438.7841, KL loss: 125.0586
Total loss: 475.5440, Reconstruction loss: 463.1983, KL loss: 123.4573
Total loss: 462.6846, Reconstruction loss: 450.5159, KL loss: 121.6877
Total loss: 427.5908, Reconstruction loss: 415.4225, KL loss: 121.6833
Total loss: 491.5072, Reconstruction loss: 479.3647, KL loss: 121.4245
Total loss: 443.4778, Reconstruction loss: 431.4968, KL loss: 119.8099
Total loss: 450.3330, Reconstruction loss: 438.2425, KL loss: 120.9049
Total loss: 453.5591, Reconstruction loss: 441.6953, KL loss: 118.6389
Total loss: 493.0811, Reconstruction loss: 481.4559, KL loss: 116.2513
Total loss: 423.4762, Reconstruction loss: 411.6184, KL loss: 118.5779
Total loss: 451.5960, Reconstruction loss: 439.6748, KL loss: 119.2116
Total loss: 436.2536, Reconstruction loss: 424.4564, KL loss: 117.9714
Total loss: 447.9002, Reconstruction loss: 436.3788, KL loss: 115.2146
Total loss: 425.0268, Reconstruction loss: 413.4834, KL loss: 115.4342
Total loss: 468.8105, Reconstruction loss: 457.0162, KL loss: 117.9432
Total loss: 423.7547, Reconstruction loss: 412.1450, KL loss: 116.0970
Total loss: 436.4207, Reconstruction loss: 425.3997, KL loss: 110.2106
Total loss: 446.4581, Reconstruction loss: 435.2668, KL loss: 111.9128
Total loss: 432.9577, Reconstruction loss: 421.9348, KL loss: 110.2293
Total loss: 460.8036, Reconstruction loss: 449.7731, KL loss: 110.3051
Total loss: 416.3500, Reconstruction loss: 405.4073, KL loss: 109.4269
Total loss: 475.5308, Reconstruction loss: 464.7867, KL loss: 107.4402
Total loss: 456.7421, Reconstruction loss: 446.4820, KL loss: 102.6009
Total loss: 451.2422, Reconstruction loss: 440.6425, KL loss: 105.9967
Total loss: 448.5652, Reconstruction loss: 438.2629, KL loss: 103.0223
Total loss: 414.2401, Reconstruction loss: 403.9337, KL loss: 103.0640
Total loss: 430.2547, Reconstruction loss: 420.2108, KL loss: 100.4392
Total loss: 415.5972, Reconstruction loss: 405.6686, KL loss: 99.2858
Total loss: 441.2070, Reconstruction loss: 431.3202, KL loss: 98.8684
Total loss: 449.0527, Reconstruction loss: 438.9605, KL loss: 100.9221
Total loss: 413.1991, Reconstruction loss: 403.3708, KL loss: 98.2831
Total loss: 418.3641, Reconstruction loss: 408.4775, KL loss: 98.8659
Total loss: 433.0481, Reconstruction loss: 423.1795, KL loss: 98.6862
Total loss: 415.7854, Reconstruction loss: 406.5053, KL loss: 92.8012
Total loss: 398.2365, Reconstruction loss: 388.3976, KL loss: 98.3883
Total loss: 420.5020, Reconstruction loss: 410.7654, KL loss: 97.3658
Total loss: 450.3987, Reconstruction loss: 441.0057, KL loss: 93.9300
Total loss: 415.7540, Reconstruction loss: 406.1882, KL loss: 95.6581
Total loss: 460.8359, Reconstruction loss: 451.7178, KL loss: 91.1809
Epoch 3/200
Total loss: 388.5528, Reconstruction loss: 379.2791, KL loss: 92.7372
Total loss: 409.8003, Reconstruction loss: 400.5339, KL loss: 92.6637
Total loss: 431.1404, Reconstruction loss: 422.3538, KL loss: 87.8665
Total loss: 426.1088, Reconstruction loss: 417.0213, KL loss: 90.8744
Total loss: 430.1140, Reconstruction loss: 421.2626, KL loss: 88.5147
Total loss: 438.3506, Reconstruction loss: 429.5836, KL loss: 87.6700
Total loss: 408.1818, Reconstruction loss: 399.4829, KL loss: 86.9884
Total loss: 383.4942, Reconstruction loss: 374.8744, KL loss: 86.1986
Total loss: 403.6241, Reconstruction loss: 394.8837, KL loss: 87.4037
Total loss: 420.7388, Reconstruction loss: 411.9572, KL loss: 87.8166
Total loss: 392.7707, Reconstruction loss: 384.1295, KL loss: 86.4128
Total loss: 413.3611, Reconstruction loss: 404.8441, KL loss: 85.1701
Total loss: 432.7440, Reconstruction loss: 424.3650, KL loss: 83.7906
Total loss: 416.2891, Reconstruction loss: 408.0898, KL loss: 81.9932
Total loss: 428.0387, Reconstruction loss: 419.8681, KL loss: 81.7060
Total loss: 411.8696, Reconstruction loss: 403.5325, KL loss: 83.3712
Total loss: 398.6096, Reconstruction loss: 390.4655, KL loss: 81.4410
Total loss: 398.4731, Reconstruction loss: 390.3330, KL loss: 81.4011
Total loss: 417.8742, Reconstruction loss: 409.7344, KL loss: 81.3985
Total loss: 412.1151, Reconstruction loss: 404.3100, KL loss: 78.0512
Total loss: 424.5583, Reconstruction loss: 416.4521, KL loss: 81.0618
Total loss: 416.4196, Reconstruction loss: 408.5110, KL loss: 79.0855
Total loss: 434.4600, Reconstruction loss: 426.8824, KL loss: 75.7763
Total loss: 387.1264, Reconstruction loss: 379.3088, KL loss: 78.1762
Total loss: 398.1483, Reconstruction loss: 390.3791, KL loss: 77.6922
Total loss: 389.5842, Reconstruction loss: 381.8295, KL loss: 77.5466
Total loss: 412.9880, Reconstruction loss: 405.2361, KL loss: 77.5191
Total loss: 413.7420, Reconstruction loss: 406.0901, KL loss: 76.5193
Total loss: 367.4188, Reconstruction loss: 359.8010, KL loss: 76.1773
Total loss: 440.4994, Reconstruction loss: 433.0500, KL loss: 74.4944
Total loss: 393.8431, Reconstruction loss: 386.3512, KL loss: 74.9191
Total loss: 391.4660, Reconstruction loss: 383.8315, KL loss: 76.3448
Total loss: 398.1501, Reconstruction loss: 390.6711, KL loss: 74.7905
Total loss: 441.4244, Reconstruction loss: 433.8978, KL loss: 75.2657
Total loss: 373.7281, Reconstruction loss: 366.2839, KL loss: 74.4418
Total loss: 400.4178, Reconstruction loss: 392.8644, KL loss: 75.5338
Total loss: 384.4037, Reconstruction loss: 377.1360, KL loss: 72.6771
Total loss: 384.1642, Reconstruction loss: 376.9525, KL loss: 72.1168
Total loss: 370.4165, Reconstruction loss: 363.2860, KL loss: 71.3049
Total loss: 407.2947, Reconstruction loss: 400.0963, KL loss: 71.9841
Total loss: 380.5358, Reconstruction loss: 373.4916, KL loss: 70.4413
Total loss: 383.0139, Reconstruction loss: 376.2203, KL loss: 67.9360
Total loss: 408.7616, Reconstruction loss: 401.8202, KL loss: 69.4136
Total loss: 376.7838, Reconstruction loss: 369.9953, KL loss: 67.8847
Total loss: 409.0216, Reconstruction loss: 402.1168, KL loss: 69.0476
Total loss: 365.6999, Reconstruction loss: 358.6676, KL loss: 70.3225
Total loss: 420.3848, Reconstruction loss: 413.3735, KL loss: 70.1125
Total loss: 400.9179, Reconstruction loss: 394.1678, KL loss: 67.5006
Total loss: 394.1183, Reconstruction loss: 387.3369, KL loss: 67.8147
Total loss: 393.1938, Reconstruction loss: 386.5477, KL loss: 66.4619
Total loss: 366.0640, Reconstruction loss: 359.5070, KL loss: 65.5707
Total loss: 383.8819, Reconstruction loss: 377.4528, KL loss: 64.2912
Total loss: 373.5824, Reconstruction loss: 367.2709, KL loss: 63.1156
Total loss: 389.5985, Reconstruction loss: 383.2252, KL loss: 63.7338
Total loss: 402.7498, Reconstruction loss: 396.0975, KL loss: 66.5232
Total loss: 361.4093, Reconstruction loss: 354.8719, KL loss: 65.3741
Total loss: 363.6964, Reconstruction loss: 357.0510, KL loss: 66.4536
Total loss: 375.7267, Reconstruction loss: 368.9525, KL loss: 67.7419
Total loss: 371.8807, Reconstruction loss: 365.5946, KL loss: 62.8611
Total loss: 357.0203, Reconstruction loss: 350.3275, KL loss: 66.9273
Total loss: 371.5770, Reconstruction loss: 364.8203, KL loss: 67.5667
Total loss: 386.6457, Reconstruction loss: 380.2287, KL loss: 64.1701
Total loss: 366.8521, Reconstruction loss: 360.3347, KL loss: 65.1736
Total loss: 409.2070, Reconstruction loss: 402.9508, KL loss: 62.5617
Epoch 4/200
Total loss: 344.9079, Reconstruction loss: 338.4546, KL loss: 64.5335
Total loss: 359.9522, Reconstruction loss: 353.3526, KL loss: 65.9966
Total loss: 375.4670, Reconstruction loss: 369.1744, KL loss: 62.9255
Total loss: 384.6542, Reconstruction loss: 378.1924, KL loss: 64.6178
Total loss: 380.7368, Reconstruction loss: 374.2914, KL loss: 64.4548
Total loss: 378.1115, Reconstruction loss: 371.7098, KL loss: 64.0169
Total loss: 351.5365, Reconstruction loss: 345.0386, KL loss: 64.9793
Total loss: 345.0847, Reconstruction loss: 338.6684, KL loss: 64.1625
Total loss: 363.7885, Reconstruction loss: 357.2272, KL loss: 65.6132
Total loss: 363.0868, Reconstruction loss: 356.4290, KL loss: 66.5776
Total loss: 354.0739, Reconstruction loss: 347.4708, KL loss: 66.0310
Total loss: 369.1845, Reconstruction loss: 362.5479, KL loss: 66.3662
Total loss: 377.7077, Reconstruction loss: 371.1017, KL loss: 66.0596
Total loss: 371.5611, Reconstruction loss: 365.0913, KL loss: 64.6979
Total loss: 377.2924, Reconstruction loss: 370.8534, KL loss: 64.3907
Total loss: 361.0305, Reconstruction loss: 354.5229, KL loss: 65.0760
Total loss: 345.6825, Reconstruction loss: 339.1160, KL loss: 65.6643
Total loss: 347.6053, Reconstruction loss: 340.9211, KL loss: 66.8415
Total loss: 364.1819, Reconstruction loss: 357.3744, KL loss: 68.0749
Total loss: 357.9867, Reconstruction loss: 351.3971, KL loss: 65.8962
Total loss: 384.0663, Reconstruction loss: 377.2002, KL loss: 68.6610
Total loss: 359.0710, Reconstruction loss: 352.1137, KL loss: 69.5728
Total loss: 375.7649, Reconstruction loss: 369.2203, KL loss: 65.4453
Total loss: 347.2439, Reconstruction loss: 340.5006, KL loss: 67.4328
Total loss: 348.3631, Reconstruction loss: 341.6224, KL loss: 67.4071
Total loss: 338.6789, Reconstruction loss: 331.8409, KL loss: 68.3802
Total loss: 360.7898, Reconstruction loss: 353.8601, KL loss: 69.2966
Total loss: 359.8216, Reconstruction loss: 352.8990, KL loss: 69.2261
Total loss: 324.6298, Reconstruction loss: 317.7121, KL loss: 69.1775
Total loss: 379.4236, Reconstruction loss: 372.4346, KL loss: 69.8893
Total loss: 347.7056, Reconstruction loss: 340.7530, KL loss: 69.5263
Total loss: 350.9535, Reconstruction loss: 343.7844, KL loss: 71.6914
Total loss: 345.8440, Reconstruction loss: 338.8436, KL loss: 70.0038
Total loss: 389.1383, Reconstruction loss: 381.9899, KL loss: 71.4837
Total loss: 336.9707, Reconstruction loss: 329.9885, KL loss: 69.8225
Total loss: 347.0621, Reconstruction loss: 339.8988, KL loss: 71.6328
Total loss: 337.8556, Reconstruction loss: 330.9213, KL loss: 69.3437
Total loss: 339.1860, Reconstruction loss: 332.1166, KL loss: 70.6940
Total loss: 338.5495, Reconstruction loss: 331.5569, KL loss: 69.9261
Total loss: 357.3333, Reconstruction loss: 350.0847, KL loss: 72.4863
Total loss: 337.7831, Reconstruction loss: 330.5038, KL loss: 72.7922
Total loss: 343.0531, Reconstruction loss: 335.9137, KL loss: 71.3936
Total loss: 352.6168, Reconstruction loss: 345.2857, KL loss: 73.3113
Total loss: 332.8735, Reconstruction loss: 325.6286, KL loss: 72.4486
Total loss: 354.9261, Reconstruction loss: 347.5021, KL loss: 74.2398
Total loss: 333.2167, Reconstruction loss: 325.6904, KL loss: 75.2632
Total loss: 365.1308, Reconstruction loss: 357.5784, KL loss: 75.5237
Total loss: 351.8552, Reconstruction loss: 344.4977, KL loss: 73.5749
Total loss: 355.2645, Reconstruction loss: 347.8960, KL loss: 73.6846
Total loss: 346.8083, Reconstruction loss: 339.4242, KL loss: 73.8412
Total loss: 333.2664, Reconstruction loss: 325.8145, KL loss: 74.5186
Total loss: 341.2527, Reconstruction loss: 333.8282, KL loss: 74.2455
Total loss: 340.1666, Reconstruction loss: 332.8969, KL loss: 72.6977
Total loss: 349.6279, Reconstruction loss: 342.1068, KL loss: 75.2114
Total loss: 357.9236, Reconstruction loss: 349.9948, KL loss: 79.2874
Total loss: 320.1771, Reconstruction loss: 312.3843, KL loss: 77.9278
Total loss: 327.1542, Reconstruction loss: 319.2629, KL loss: 78.9137
Total loss: 328.5770, Reconstruction loss: 320.5050, KL loss: 80.7203
Total loss: 332.5330, Reconstruction loss: 324.9290, KL loss: 76.0398
Total loss: 322.9176, Reconstruction loss: 314.9584, KL loss: 79.5915
Total loss: 333.9561, Reconstruction loss: 325.8581, KL loss: 80.9809
Total loss: 351.9301, Reconstruction loss: 344.1287, KL loss: 78.0140
Total loss: 331.8379, Reconstruction loss: 323.8813, KL loss: 79.5658
Total loss: 354.7163, Reconstruction loss: 346.9355, KL loss: 77.8075
Epoch 5/200
Total loss: 319.2994, Reconstruction loss: 311.3028, KL loss: 79.9667
Total loss: 330.4278, Reconstruction loss: 322.2030, KL loss: 82.2483
Total loss: 338.7264, Reconstruction loss: 330.7989, KL loss: 79.2751
Total loss: 348.3145, Reconstruction loss: 340.2393, KL loss: 80.7517
Total loss: 332.6076, Reconstruction loss: 324.5056, KL loss: 81.0196
Total loss: 338.3410, Reconstruction loss: 330.2415, KL loss: 80.9954
Total loss: 319.2374, Reconstruction loss: 311.1223, KL loss: 81.1509
Total loss: 310.2551, Reconstruction loss: 302.2459, KL loss: 80.0915
Total loss: 325.3306, Reconstruction loss: 317.1433, KL loss: 81.8725
Total loss: 332.3596, Reconstruction loss: 324.0716, KL loss: 82.8795
Total loss: 326.1619, Reconstruction loss: 317.9727, KL loss: 81.8917
Total loss: 335.5059, Reconstruction loss: 327.2161, KL loss: 82.8982
Total loss: 348.6362, Reconstruction loss: 340.2624, KL loss: 83.7385
Total loss: 336.2152, Reconstruction loss: 327.9389, KL loss: 82.7627
Total loss: 339.2279, Reconstruction loss: 331.0729, KL loss: 81.5500
Total loss: 329.5355, Reconstruction loss: 321.3608, KL loss: 81.7469
Total loss: 319.4830, Reconstruction loss: 311.1783, KL loss: 83.0472
Total loss: 323.8097, Reconstruction loss: 315.4038, KL loss: 84.0584
Total loss: 334.4823, Reconstruction loss: 325.9479, KL loss: 85.3438
Total loss: 326.1777, Reconstruction loss: 317.9109, KL loss: 82.6680
Total loss: 349.1110, Reconstruction loss: 340.5927, KL loss: 85.1828
Total loss: 332.4988, Reconstruction loss: 323.7862, KL loss: 87.1266
Total loss: 340.3723, Reconstruction loss: 332.1300, KL loss: 82.4227
Total loss: 317.7074, Reconstruction loss: 309.2130, KL loss: 84.9441
Total loss: 314.2688, Reconstruction loss: 305.7146, KL loss: 85.5418
